"country","touristArrivals"
"France","89400000"
"Spain","83700000"
"United States","79300000"
"China","65700000"
"Italy","64500000"
"Turkey","51200000"
"Mexico","45000000"
"Thailand","39800000"
"Germany","39600000"
"United Kingdom","39400000"
"Japan","32300000"
"Austria","31900000"
"Greece","31300000"
"Malaysia","26100000"
"Portugal","24600000"
"Russia","24400000"
"Hong Kong","23800000"
"Poland","22100000"
"Canada","22100000"
"Netherlands","20100000"
"Vietnam","18000000"
"India","17900000"
"South Korea","17500000"
"Croatia","17400000"
"Hungary","16900000"
"United Arab Emirates","16700000"
"Indonesia","15500000"
"Singapore","15100000"
"Czech Republic","14300000"
"Ukraine","14200000"
"Saudi Arabia","13600000"
"Denmark","13300000"
"Morocco","12900000"
"Taiwan","11900000"
"Switzerland","11800000"
"Egypt","11300000"
"Ireland","10900000"
"South Africa","10200000"
"Australia","9500000"
"Tunisia","9400000"
"Belgium","9300000"
"Bulgaria","9300000"
"Philippines","8300000"
"Argentina","7400000"
"Sweden","7400000"
"Iran","7300000"
"Kyrgyzstan","6900000"
"Uzbekistan","6700000"
"Cambodia","6600000"